19	241	1
19	560	8
19	762	1
19	916	1
19	1045	1
19	1123	3
19	1202	1
19	1924	1
19	2279	1
19	2281	1
19	2314	1
19	2533	1
19	2758	1
44	241	2
44	279	1
44	560	2
44	659	1
44	954	1
44	1045	1
44	1123	1
44	2279	1
44	2355	2
44	2798	1
51	118	1
51	241	8
51	483	1
51	509	1
51	560	1
51	590	1
51	595	1
51	681	4
51	685	1
51	1045	1
51	1505	1
51	1618	1
51	1627	1
51	2460	1
51	2548	2
62	241	3
62	357	2
62	560	1
62	732	1
62	788	1
62	916	1
62	1045	3
62	1494	1
62	1618	1
62	2281	1
66	241	7
66	483	1
66	560	3
66	954	1
66	1123	5
66	1216	1
66	1916	1
66	2077	1
66	2105	1
66	2279	3
66	2344	1
66	2479	3
66	2660	1
66	2822	1
118	241	6
118	357	1
118	573	1
118	610	1
118	1491	1
118	1505	1
118	1627	1
118	2382	1
209	241	3
209	560	6
209	565	1
209	610	1
209	747	1
209	788	1
209	865	1
209	1311	1
209	1796	1
209	2030	1
209	2043	1
209	2279	1
209	2757	1
209	2798	1
219	241	9
219	279	1
219	357	2
219	560	1
219	610	1
219	800	1
219	867	1
219	954	1
219	988	2
219	1045	1
219	1122	1
219	1123	11
219	1216	1
219	1244	1
219	1358	1
219	2077	1
219	2281	2
219	2355	1
219	2445	1
219	2479	1
219	2548	2
219	2609	1
219	2673	2
241	247	4
241	279	28
241	288	5
241	321	3
241	357	43
241	483	8
241	502	6
241	509	2
241	560	57
241	565	3
241	573	6
241	584	3
241	590	7
241	595	11
241	610	22
241	659	5
241	681	10
241	685	13
241	698	9
241	732	3
241	741	6
241	747	11
241	762	1
241	788	6
241	800	10
241	809	2
241	865	12
241	867	8
241	916	3
241	954	42
241	968	26
241	988	2
241	1006	5
241	1045	31
241	1092	9
241	1122	4
241	1123	91
241	1166	14
241	1202	2
241	1216	3
241	1229	12
241	1244	6
241	1261	2
241	1311	4
241	1358	4
241	1435	11
241	1443	5
241	1491	3
241	1494	6
241	1505	6
241	1514	5
241	1541	6
241	1550	7
241	1575	3
241	1596	3
241	1618	8
241	1627	14
241	1672	9
241	1676	2
241	1704	1
241	1796	4
241	1888	2
241	1914	4
241	1916	13
241	1924	9
241	1976	5
241	2009	5
241	2030	12
241	2043	4
241	2077	21
241	2105	8
241	2113	6
241	2203	4
241	2279	12
241	2280	5
241	2281	38
241	2297	7
241	2305	6
241	2314	9
241	2316	9
241	2318	5
241	2326	5
241	2329	4
241	2336	10
241	2339	2
241	2344	7
241	2355	3
241	2379	8
241	2382	8
241	2445	5
241	2457	5
241	2460	5
241	2473	4
241	2479	4
241	2521	10
241	2529	9
241	2533	11
241	2548	15
241	2609	4
241	2640	2
241	2660	4
241	2673	4
241	2693	4
241	2720	1
241	2757	5
241	2798	3
241	2800	8
241	2822	1
247	509	1
247	560	3
247	595	1
247	1045	1
247	1244	1
247	2305	1
247	2336	1
247	2382	1
247	2660	1
279	357	5
279	560	2
279	659	1
279	685	1
279	747	2
279	788	1
279	800	2
279	865	2
279	867	2
279	954	13
279	1045	3
279	1123	14
279	1216	1
279	1229	1
279	1358	1
279	1435	1
279	1443	1
279	1575	1
279	1627	1
279	1676	1
279	1796	1
279	1916	1
279	1924	1
279	2043	1
279	2077	1
279	2105	1
279	2185	1
279	2203	1
279	2281	2
279	2314	2
279	2316	1
279	2336	1
279	2344	1
279	2355	2
279	2445	1
279	2529	1
279	2640	1
279	2660	1
279	2757	1
279	2758	1
279	2798	1
279	2822	2
288	357	2
288	595	1
288	610	1
288	954	3
288	968	1
288	1123	4
288	1166	1
288	1541	1
288	1796	1
288	2281	1
288	2798	1
321	357	1
321	560	1
321	747	2
321	988	1
321	1045	1
321	1216	1
321	1796	1
321	2043	1
321	2279	3
321	2281	2
321	2473	1
357	483	2
357	502	2
357	509	2
357	560	26
357	565	1
357	584	1
